country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Afghanistan,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k,653k
Angola,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M,1.25M
Albania,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k,28.8k
Andorra,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
United Arab Emirates,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k,98.6k
Argentina,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M,2.78M
Armenia,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k,29.7k
American Samoa,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Antigua and Barbuda,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
